Brand,Product Name,Price (RM),Discount (%),Product Image URL,SKU,Description,Installment,Rating,Reviews
ADIDAS,Adidas Ozelle Cloudfoam Shoes GREY,RM164.50,50%,//al-ikhsan.com/cdn/shop/files/i_f_if2855_f.jpg?crop=center&height=1100&v=1723023095&width=1100,SKU: IF2855-6,"PRODUCT DESCRIPTIONS
Running-style sneakers with futuristic style, made in part with recycled materials. 
These adidas running shoes take it back to the '90s. At the same time, they go full speed into the future. The thick design lines and sturdy outsole are well-matched by the soft Cloudfoam midsole, which adds springiness to your run. The classic sporty shape is elevated by the upper's rich mix of materials. Go high. Go low. Go everywhere in these sneakers.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.
PRODUCT DETAILS
-  Regular fit
-  Lace closure
-  Textile upper
-  Cloudfoam midsole
-  Textile lining
-  Product Colour :  Grey Four/ Grey Six/ Grey Six",3 payments of  RM54.83 with,"0 full, 0 half, 5 off",N/A
SKECHERS,SKECHERS MEN IRRADIATE LIFESTYLE BLACK,RM181.30,30%,//al-ikhsan.com/cdn/shop/files/8_7_8790050-bbk_f.jpg?crop=center&height=1100&v=1723021840&width=1100,SKU: 8790050-BBK-10,SKECHERS MEN IRRADIATE LIFESTYLE BLACK,3 payments of  RM60.43 with,"0 full, 0 half, 5 off",N/A
NEW BALANCE,New Balance 373 Lifestyle Sneakers,RM314.10,10%,//al-ikhsan.com/cdn/shop/files/WL373WG2_1_90b75f30-e0bd-4b55-9efe-9294a3dfba8d.jpg?crop=center&height=1100&v=1729842310&width=1100,SKU: WL373WG2-8,"Product DescriptionUnisex sneakers from the classic 373 series.
The upper is made of natural leather, synthetic materials and mesh.
The midsole is filled with soft EVA foam that provides good cushioning when hitting hard surfaces.
The firm and durable rubber sole with a classic pattern guarantees optimal adhesion to the surface and high comfort.
Unisex sneakers from the 373 series will do the job for everyday wear, you can create a casual outfit.",3 payments of  RM104.70 with,"0 full, 0 half, 5 off",N/A
NEW BALANCE,New Balance 373 Lifestyle Sneakers White,RM314.10,10%,//al-ikhsan.com/cdn/shop/files/ML373SW2_1_91d9edfc-a910-40fd-9853-828071647bb6.jpg?crop=center&height=1100&v=1729842261&width=1100,SKU: ML373SW2-10,"Product DescriptionUnisex sneakers from the classic 373 series.
The upper is made of natural leather, synthetic materials and mesh.
The midsole is filled with soft EVA foam that provides good cushioning when hitting hard surfaces.
The firm and durable rubber sole with a classic pattern guarantees optimal adhesion to the surface and high comfort.
Unisex sneakers from the 373 series will do the job for everyday wear, you can create a casual outfit.",3 payments of  RM104.70 with,"5 full, 0 half, 0 off",Nice
NEW BALANCE,New Balance BB80 Lifestyle Sneakers,RM359.10,10%,//al-ikhsan.com/cdn/shop/files/BB80RTG_1_b0b4eb26-8185-4022-8817-bc7d932a4744.jpg?crop=center&height=1100&v=1729842202&width=1100,SKU: BB80RTG-10,"Product DescriptionThe BB80 series are New Balance's lifestyle, basketball-inspired sneakers for everyday wear.
The upper is made from a combination of leather and synthetic materials.
The durable rubber sole is characterized by good adhesion to the surface, resistance to mechanical damage and excessive wear during walking. The appearance of
the New Balance BB80 sneakers mainly refers to the iconic 550 and 480 series .
Footwear for her and for him will perfectly complement women's and men's lifestyle clothing .",3 payments of  RM119.70 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Court Vision Low Next Nature Men's Shoes,RM247.50,10%,//al-ikhsan.com/cdn/shop/files/DH2987-006_1_3db5e9b3-ace9-4f42-88db-220eeaf1f4f1.jpg?crop=center&height=1100&v=1729758688&width=1100,SKU: DH2987-006-10,"Nike Court Vision Low Next NatureMen's ShoesFRESH OFF THE COURT.In love with the classic look of '80s basketball but have a thing for the fast-paced culture of today's game? Meet the Nike Court Vision Low. A classic remixed with at least 20% recycled materials by weight, its crisp upper and stitched overlays keep the soul of the original style. The plush, low-cut collar keeps it sleek and comfortable for your world.Made with at least 20% recycled material by weight.Whenever you see the Nike Sunburst or the name Next Nature (NN), you see one more step on our journey toward zero carbon and zero waste.Using synthetic materials, the design features materials that echo mid-1980s basketball shoes.Padded, low-cut collar looks sleek and feels great while the perforations on the toe and sides add comfort and breathability. More Details 

Perforations on the toe and sides
Rubber outsole",3 payments of  RM82.50 with,"0 full, 0 half, 5 off",N/A
AL,AL Men's Shoes Black-SW23,RM111.20,20%,//al-ikhsan.com/cdn/shop/files/sw23-06540m-m-01_f.jpg?crop=center&height=1100&v=1726656466&width=1100,SKU: SW23-06540M-M-01-10,AL Men's Shoes Black,3 payments of  RM37.06 with,"0 full, 0 half, 5 off",N/A
ADIDAS,ADIDAS SHOWTHEWAY 2.0 MEN S SHOES,RM229.00,N/A,//al-ikhsan.com/cdn/shop/files/g_y_gy6347_f.jpg?crop=center&height=1100&v=1726655820&width=1100,SKU: GY6347-6,"PRODUCT DESCRIPTIONS
RUNNING SHOES FOR ALL DAY COMFORT, MADE IN PART WITH RECYCLED MATERIALS.
Whether you re stepping out for a morning jog through the neighbourhood or wanting to bring some running inspiration to your everyday wardrobe, lace up in these adidas shoes. The lightweight mesh upper is breathable, to keep feet cool even in warm weather, while a cushioned midsole cradles every step for all day comfort. Classic 3 Stripes graphics keep your look rooted in sports.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.
PRODUCT DETAILS
   Regular fit
   Lace closure
   Mesh upper
   Synthetic lining
   Cushioned midsole
   Flex grooves
   Rubber outsole
   Upper contains a minimum of 50% recycled content
   Product Colour: Core Black / Carbon / Core Black",3 payments of  RM76.33 with,"0 full, 0 half, 5 off",N/A
ADIDAS,ADIDAS NEBZED CLOUDFOAM MEN'S SHOES BLACK,RM149.50,50%,//al-ikhsan.com/cdn/shop/files/g_x_gx4275_f.jpg?crop=center&height=1100&v=1726655769&width=1100,SKU: GX4275-6,"PRODUCT DESCRIPTIONS
EVERYDAY LIGHTWEIGHT SHOES MADE IN PART WITH RECYCLED MATERIALS.
Keep it moving. With a sculpted Cloudfoam midsole, these adidas shoes are made for active days. A breathable textile upper and moulded heel counter combine to keep your feet comfortable even after hours of running around. Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.
PRODUCT DETAILS
-  Regular fit
-  Lace closure
-  Textile upper
-  Textile lining
-  Cloudfoam midsole
-  Moulded heel counter
-  Rubber outsole
-  Upper contains a minimum of 50% recycled content
-- Product Colour : Core Black / Core Black / Cloud White",3 payments of  RM49.83 with,"0 full, 0 half, 5 off",N/A
ADIDAS,ADIDAS NEBZED CLOUDFOAM MEN'S SHOES BLACK,RM149.50,50%,//al-ikhsan.com/cdn/shop/files/g_x_gx4274_f.jpg?crop=center&height=1100&v=1726655755&width=1100,SKU: GX4274-6,"PRODUCT DESCRIPTIONS
EVERYDAY LIGHTWEIGHT SHOES MADE IN PART WITH RECYCLED MATERIALS.
Keep it moving. With a sculpted Cloudfoam midsole, these adidas shoes are made for active days. A breathable textile upper and moulded heel counter combine to keep your feet comfortable even after hours of running around. Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.
PRODUCT DETAILS
-  Regular fit
-  Lace closure
-  Textile upper
-  Textile lining
-  Cloudfoam midsole
-  Moulded heel counter
-  Rubber outsole
-  Upper contains a minimum of 50% recycled content
-- Product Colour : Core Black / Core Black / Core Black",3 payments of  RM49.83 with,"5 full, 0 half, 0 off",Veryy good
ADIDAS,ADIDAS Urban Court Men's Shoes Grey,RM160.30,30%,//al-ikhsan.com/cdn/shop/files/if9788_f.jpg?crop=center&height=1100&v=1723090175&width=1100,SKU: IF9788-6,"PRODUCT DESCRIPTIONS
LAID-BACK SHOES WITH EASY STYLE, MADE IN PART WITH RECYCLED MATERIALS.
A streamlined modern profile gives these adidas shoes a fresh perspective on everyday life. They feature a flexible synthetic upper that rides on a rubber outsole for a solid, grippy step. Their timeless look pairs well with anything for stylish versatility.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.
PRODUCT DETAILS
-  Regular fit
-  Lace closure
-  Synthetic upper
-  Synthetic lining
-  Rubber outsole
-  Colour: Charcoal / Off White / Charcoal",3 payments of  RM53.43 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Cloudfoam Move Sock Men's Shoes Black,RM188.30,30%,//al-ikhsan.com/cdn/shop/files/id6519_f.jpg?crop=center&height=1100&v=1723083551&width=1100,SKU: ID6519-6H,Adidas Cloudfoam Move Sock Men's Shoes BLACK,3 payments of  RM62.76 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Cloudfoam Move Sock Men's Shoes Grey,RM188.30,30%,//al-ikhsan.com/cdn/shop/files/id6522_f_1.jpg?crop=center&height=1100&v=1729754573&width=1100,SKU: ID6522-6,Adidas Cloudfoam Move Sock Men's Shoes GREY,3 payments of  RM62.76 with,"0 full, 0 half, 5 off",N/A
FILA,FILA Fieldgage Unisex Lifetyle Shoes White,RM224.10,10%,//al-ikhsan.com/cdn/shop/files/1RM02557G-100_1_4d79600e-4695-4f5d-bcf1-5d7bd7f2a696.jpg?crop=center&height=1100&v=1732876279&width=1100,SKU: 1RM02557G-100-230,FILA Fieldgage Unisex Lifetyle Shoes White,3 payments of  RM74.70 with,"0 full, 0 half, 5 off",N/A
FILA,FILA Taurus Evo Unisex Lifestyle Shoes White,RM287.10,10%,//al-ikhsan.com/cdn/shop/files/1RM02858G-896_1_f906845d-06d0-431a-8c64-427f9169a1f9.jpg?crop=center&height=1100&v=1732876272&width=1100,SKU: 1RM02858G-896-230,FILA Taurus Evo Unisex Lifestyle Shoes White,3 payments of  RM95.70 with,"0 full, 0 half, 5 off",N/A
SKECHERS,SKECHERS Reiff Men's Lifestyle Shoes Black,RM179.10,10%,//al-ikhsan.com/cdn/shop/files/8790244-BKW_1_10c4cd6d-e15a-48ef-97a4-47f62796e6de.jpg?crop=center&height=1100&v=1732876249&width=1100,SKU: 8790244-BKW-10,SKECHERS Reiff Men's Lifestyle Shoes Black,3 payments of  RM59.70 with,"0 full, 0 half, 5 off",N/A
SKECHERS,SKECHERS Flection 3.0 Men's Lifestyle Shoes Black,RM199.00,N/A,//al-ikhsan.com/cdn/shop/files/8790219-CHAR_1_29e76402-7b20-41b6-9b5e-6450cdaca4f6.jpg?crop=center&height=1100&v=1732876257&width=1100,SKU: 8790219-CHAR-9,SKECHERS Flection 3.0 Men's Lifestyle Shoes Black,3 payments of  RM66.33 with,"0 full, 0 half, 5 off",N/A
SKECHERS,SKECHERS Flection Men's Lifestyle Shoes Grey,RM139.30,30%,//al-ikhsan.com/cdn/shop/files/8790172-CCBK_1_8ae22d29-8da3-4f03-b9f2-c082cfd8546f.jpg?crop=center&height=1100&v=1732675848&width=1100,SKU: 8790172-CCBK-10,SKECHERS Flection Men's Lifestyle Shoes Grey,3 payments of  RM46.43 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Air Max SC Men's Lifestyle Shoes,RM269.10,10%,//al-ikhsan.com/cdn/shop/files/CW4555-018_1_178fd5a6-e107-4d8a-881c-1ddde9f0774b.jpg?crop=center&height=1100&v=1732183580&width=1100,SKU: CW4555-018-10,Nike Air Max SC Men's Lifestyle Shoes,3 payments of  RM89.70 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Softride Carson Sliptech Men's Lifestyle Shoes Black,RM233.10,10%,//al-ikhsan.com/cdn/shop/files/310694_01_1_a17c5324-d5a7-4313-b75a-21ed6b9b62b6.jpg?crop=center&height=1100&v=1731577661&width=1100,SKU: 310694 01-7,PUMA Softride Carson Sliptech Men's Lifestyle Shoes Black,3 payments of  RM77.70 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Enzo 2 Street Men's Lifestyle Shoes,RM259.00,N/A,//al-ikhsan.com/cdn/shop/files/310379_05_1_3e2a84e1-a068-4eae-a36c-bdbc4a42af1e.jpg?crop=center&height=1100&v=1731558910&width=1100,SKU: 310379 05-9,PUMA Enzo 2 Street Men's Lifestyle Shoes,3 payments of  RM86.33 with,"4 full, 0 half, 1 off",Good product
PUMA,PUMA Hypnotic LS Men's Lifestyle Shoes Brown,RM332.10,10%,//al-ikhsan.com/cdn/shop/files/395295_13_1_82cc1486-4a09-4b5e-aad3-9838cb10f309.jpg?crop=center&height=1100&v=1731558843&width=1100,SKU: 395295 13-10,"PRODUCT STORY
Introducing a trendy and comfortable shoe designed for consumers who want both style and comfort. This shoe is made with softride foam technology that ensures maximum comfort, even when worn for extended periods. The styles suede look and feel give it a modern, sleek appearance, making it the perfect choice for those looking to keep up with the latest fashion trends. Whether you're running errands or heading out with friends, this shoe is the perfect accessory to complete your trendy look.
FEATURES & BENEFITS
The upper of the shoes is made with at least 30% recycled materials.
SPECIFICATIONS
- Synthetic suede and mesh upper
- Softride midsole
- Rubber outsole
- Lace closure
- PUMA Cat logo on tongue and heel

Material Information
- Sockliner: 100% Textile
- Outsole: 100% Rubber
- Upper: 38.55% Textile, 37.97% Cow leather, 23.48% Synthetic
- Lining: 100% Textile",3 payments of  RM110.70 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Hypnotic LS Men's Lifestyle Shoes Navy,RM332.10,10%,//al-ikhsan.com/cdn/shop/files/395295_15_1_057fcd9e-ccb9-4c38-9d78-3a10ee9f18a3.jpg?crop=center&height=1100&v=1731558834&width=1100,SKU: 395295 15-10,"PRODUCT STORY
Introducing a trendy and comfortable shoe designed for consumers who want both style and comfort. This shoe is made with softride foam technology that ensures maximum comfort, even when worn for extended periods. The styles suede look and feel give it a modern, sleek appearance, making it the perfect choice for those looking to keep up with the latest fashion trends. Whether you're running errands or heading out with friends, this shoe is the perfect accessory to complete your trendy look.
FEATURES & BENEFITS
The upper of the shoes is made with at least 30% recycled materials.
SPECIFICATIONS
- Synthetic suede and mesh upper
- Softride midsole
- Rubber outsole
- Lace closure
- PUMA Cat logo on tongue and heel

Material Information
- Sockliner: 100% Textile
- Outsole: 100% Rubber
- Upper: 38.55% Textile, 37.97% Cow leather, 23.48% Synthetic
- Lining: 100% Textile",3 payments of  RM110.70 with,"0 full, 0 half, 5 off",N/A
NEW BALANCE,New Balance GM500 Unisex Lifestyle Shoes Black,RM279.20,20%,//al-ikhsan.com/cdn/shop/files/GW500ADO_1_631d4bcf-e2ef-48c3-8e78-5b16cc62c89d.jpg?crop=center&height=1100&v=1731059538&width=1100,SKU: GW500ADO-10,New Balance GM500 Unisex Lifestyle Shoes Black,3 payments of  RM93.06 with,"0 full, 0 half, 5 off",N/A
NEW BALANCE,New Balance GM500 Unisex Lifestyle Shoes Pink,RM279.20,20%,//al-ikhsan.com/cdn/shop/files/GW500ADC_1_4bbb5881-2113-44d0-ad61-49ed83911cea.jpg?crop=center&height=1100&v=1731059532&width=1100,SKU: GW500ADC-10,New Balance GM500 Unisex Lifestyle Shoes Pink,3 payments of  RM93.06 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Air Max SC Men's Shoes,RM269.10,10%,//al-ikhsan.com/cdn/shop/files/CW4555-017_1_40cb5893-6e03-4f6a-b7b6-f4aea472aa14.jpg?crop=center&height=1100&v=1730270463&width=1100,SKU: CW4555-017-10,"Nike Air Max SCMen's ShoesOLD SCHOOL LOOK. NEW SCHOOL COMFORT.With its easy going lines, heritage track look and of course, visible Air cushioning, the Nike Air Max SC is the perfect finish to any outfit. The rich mixture of materials adds depth while making it a durable and lightweight shoe for everyday wear.Real and synthetic leather combine with mesh for a durable construction that's breathable and comfortable to wear all day.Originally designed for running, the Max Air unit delivers lightweight cushioning with every step.The foam midsole adds cushioning to last.The rubber outsole provides traction and durability. More Details 

Traditional lacing
Flex grooves in sole let your foot move naturally",3 payments of  RM89.70 with,"0 full, 0 half, 5 off",N/A
NEW BALANCE,New Balance 373 Lifestyle Sneakers Grey,RM314.10,10%,//al-ikhsan.com/cdn/shop/files/ML373SL2_1_41196ef5-3463-40f3-97c7-8a2acd216fed.jpg?crop=center&height=1100&v=1729842251&width=1100,SKU: ML373SL2-10,"Product DescriptionUnisex sneakers from the classic 373 series.
The upper is made of natural leather, synthetic materials and mesh.
The midsole is filled with soft EVA foam that provides good cushioning when hitting hard surfaces.
The firm and durable rubber sole with a classic pattern guarantees optimal adhesion to the surface and high comfort.
Unisex sneakers from the 373 series will do the job for everyday wear, you can create a casual outfit.",3 payments of  RM104.70 with,"0 full, 0 half, 5 off",N/A
NEW BALANCE,New Balance 373 Lifestyle Sneakers Black,RM314.10,10%,//al-ikhsan.com/cdn/shop/files/ML373AK2_1_e4b3e2e8-7a60-484e-b353-e96ab2879d15.jpg?crop=center&height=1100&v=1729842239&width=1100,SKU: ML373AK2-10,"Product DescriptionUnisex sneakers from the classic 373 series.
The upper is made of natural leather, synthetic materials and mesh.
The midsole is filled with soft EVA foam that provides good cushioning when hitting hard surfaces.
The firm and durable rubber sole with a classic pattern guarantees optimal adhesion to the surface and high comfort.
Unisex sneakers from the 373 series will do the job for everyday wear, you can create a casual outfit.",3 payments of  RM104.70 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Tanjun Men's Shoes,RM202.50,10%,//al-ikhsan.com/cdn/shop/files/DJ6258-003_1_2f3f0ec0-7c08-4cb8-acff-87035c671e4f.jpg?crop=center&height=1100&v=1729758746&width=1100,SKU: DJ6258-003-10,"Nike TanjunMen's ShoesA BEST-SELLING FAVORITE MADE BETTER.Forget the hype. The Nike Tanjun brings you simplicity at its best. Made with at least 20% recycled content by weight, no detail is overlooked on this one. Lightweight. Airy. Comfortable. This shoe is all you need.The upper materials are designed to stretch and form to your foot for a personalized feel that breaks in quickly.Foam midsole and Waffle outsole offer lightweight cushioning and traction.Low-cut, padded collar looks sleek and feels great. More Details 

Same fit and feel as original",3 payments of  RM67.50 with,"0 full, 0 half, 5 off",N/A
ADIDAS,Adidas Urban Court Men's Lifestyle Shoes,RM206.10,10%,//al-ikhsan.com/cdn/shop/files/IH4897_1_ea5b2689-291c-4b96-b3c9-b897ede8466c.jpg?crop=center&height=1100&v=1729674575&width=1100,SKU: IH4897-7,"PRODUCT DESCRIPTIONSLAID-BACK SHOES WITH EASY STYLE, MADE IN PART WITH RECYCLED MATERIALS.A streamlined modern profile gives these adidas shoes a fresh perspective on everyday life. They feature a flexible synthetic upper that rides on a rubber outsole for a solid, grippy step. Their timeless look pairs well with anything for stylish versatility.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.PRODUCT DETAILS- Regular fit- Lace closure- Synthetic upper- Synthetic lining- Rubber outsole- Upper contains a minimum of 50% recycled contentPutty Grey/ Core Black/ White",3 payments of  RM68.70 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Court Royale 2 Low Men's Shoes,RM164.00,20%,//al-ikhsan.com/cdn/shop/files/CQ9246-105_1_687d20e4-24a3-4799-afd9-a60b74f331f1.jpg?crop=center&height=1100&v=1729582275&width=1100,SKU: CQ9246-105-7,"Nike Court Royale 2 LowMen's ShoesTENNIS STAPLE MADE STREET ICON.A flash from the past, the Nike Court Royale 2 features the same design that has rocked the streets since the late-'70s. Leather on the upper looks crisp and is easy to wear, while the large retro Swoosh design adds throwback appeal. To top it off, the modernized herringbone sole puts a twist on the classic look.The crisp leather on the upper looks sharp, adds durability and is easy to wear.The modern herringbone sole adds a fresh take on heritage styling, traction and durability.The padded, low-cut collar looks sleek and feels comfortable.The classic stitching adds Nike DNA and durability. More Details 

Comfort insole
Swoosh designs on the sides",3 payments of  RM54.66 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Softride Pro Echo Men's Slip-On Black,RM260.10,10%,//al-ikhsan.com/cdn/shop/files/378691_16_1_cfe23846-1ae8-418a-a64f-a86dcb471920.jpg?crop=center&height=1100&v=1728977674&width=1100,SKU: 378691 16-10,"PRODUCT STORYMeet the walking shoe with running DNA for those committed to an active lifestyle. Designed with engineered knit uppers and FuzionFit technology for targeted support and comfort, the Softride Pro tooling features flex grooves for enhanced comfort and targeted rubber coverage for ample traction.FEATURES & BENEFITSSOFTRIDE: Soft foam designed for all-day cushioning and comfortDETAILS- Synthetic and leather upper- Rubber and synthetic outsole- Slip-on- One-piece engineered knit: bootie construction designed for style and snug fit- Comfort collar for increased comfort and secure lockdownMaterial InformationSockliner: 100% TextileOutsole: 60% Rubber, 40% SyntheticUpper: 95.30% Textile, 4.70% SyntheticLining: 100% Textile",3 payments of  RM86.70 with,"0 full, 0 half, 5 off",N/A
SKECHERS,SKECHERS Sports Men'S Lifestyle Shoes,RM287.10,10%,//al-ikhsan.com/cdn/shop/files/232630_CCBL_7ad0c32b-45df-4c43-b67c-fd5cfb39b5a8.jpg?crop=center&height=1100&v=1728285355&width=1100,SKU: 232630-CCBL-10,SKECHERS Sports Men'S Lifestyle Shoes,3 payments of  RM95.70 with,"0 full, 0 half, 5 off",N/A
SKECHERS,SKECHERS Sports Men'S Lifestyle Shoes Black,RM287.10,10%,//al-ikhsan.com/cdn/shop/files/232625_BBK_b8b2d2c2-13b7-4d28-b59b-12df22e02c74.jpg?crop=center&height=1100&v=1728285352&width=1100,SKU: 232625-BBK-10,SKECHERS Sports Men'S Lifestyle Shoes,3 payments of  RM95.70 with,"0 full, 0 half, 5 off",N/A
SKECHERS,Skechers Flection 3.0 Men Lifestyle,RM139.30,30%,//al-ikhsan.com/cdn/shop/files/8790219_NVY_d85e619e-d50e-4341-9b2d-057e2aa304f3.jpg?crop=center&height=1100&v=1728285342&width=1100,SKU: 8790219-NVY-10,Skechers Flection 3.0 Men Lifestyle,3 payments of  RM46.43 with,"0 full, 0 half, 5 off",N/A
NIKE,Nike Waffle Debut Men's Shoes Brown,RM219.00,40%,//al-ikhsan.com/cdn/shop/files/fj4195-100_f.jpg?crop=center&height=1100&v=1726657395&width=1100,SKU: FJ4195-100-10,"Nike Waffle DebutMen's ShoesRetro gets modernized with these sleek sneaks inspired by the Nike Daybreak. Era-echoing suede and nylon are paired in complementary colors, and the updated wedge midsole gives you an extra lift. Style, comfort, iconic Waffle outsole?€?this is a perfect new addition to your daily rotation.Lifted foam midsoles give you an elevated look and all-day comfort.Soft suede overlays nod to vintage materials while textile underlays add durability.Rubber Waffle outsole adds durable traction and heritage style. More Details 

Padded collar
Exposed foam tongue
Traditional lacing
Perforations on heel

PRODUCT COLOUR :  White/ Black/ Phantom/ Summit White",3 payments of  RM73.00 with,"5 full, 0 half, 0 off","Size fits well. Delivery is also efficient, the tracking is accurate and the dispatcher informed me after the item have been delivered. The item is genuine product and the quality is very good."
NIKE,NIKE COURT VISION MID NEXT NATURE MEN'S SHOES WHITE,RM185.40,40%,//al-ikhsan.com/cdn/shop/files/d_n_dn3577-100_f.jpg?crop=center&height=1100&v=1726657147&width=1100,SKU: DN3577-100-10,"Nike Court Vision Mid Next NatureMen's ShoesFRESH OFF THE COURT.In love with the classic look of '80s basketball but have a thing for the fast-paced culture of today's game? Meet the Nike Court Vision Mid. A classic remixed with at least 20% recycled materials by weight. We replaced leather with recycled and synthetic materials that keeps the soul of the original style. Its crisp upper and stitched overlays stays true to its origins. The plush collar keeps it sleek and comfortable for your world.Made with at least 20% recycled material by weight.Using synthetic materials, the design features materials that echo mid-1980s basketball shoes.Padded collar looks sleek and feels great while the perforations on the toe and sides add comfort and breathability.",3 payments of  RM61.80 with,"0 full, 0 half, 5 off",N/A
SKECHERS,Skechers Women Lifestyle Go Walk 7 Black,RM351.20,20%,//al-ikhsan.com/cdn/shop/files/216633-CCBK_F_562559a2-de68-4607-9784-0eb6009a4aef.jpg?crop=center&height=1100&v=1726633492&width=1100,SKU: 216633-CCBK-10,"No cancellation of order, EXCHANGE, or refund will be entertained, unless the item you have ordered is out of stock or we are unable to fulfill your order for any reason whatsoever.If an item is defective, we will replace the item once the defective item is returned to us, provided that we receive notice of the defect within seven (7) days of receipt of such defective item by you, together with the receipt evidencing the purchase made by you.Read Complete Policy »",3 payments of  RM117.06 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Softride Pro Echo Slip-On Men's Lifestyle Shoe,RM289.00,N/A,//al-ikhsan.com/cdn/shop/files/bee47753e88647ed3a47d7e4fe41d7d0-463x463.jpg?crop=center&height=463&v=1726132778&width=463,SKU: 378691 07-6,"PRODUCT STORY
Meet the walking shoe with running DNA for those committed to an active lifestyle. Designed with engineered knit uppers and FuzionFit technology for targeted support and comfort, the Softride Pro tooling features flex grooves for enhanced comfort and targeted rubber coverage for ample traction.

FEATURES & BENEFITS

SOFTRIDE: Soft foam designed for all-day cushioning and comfort



DETAILS

Synthetic and leather upper
Rubber and synthetic outsole
Slip-on
One-piece engineered knit: bootie construction designed for style and snug fit
Comfort collar for increased comfort and secure lockdown
White/Black",3 payments of  RM96.33 with,"0 full, 0 half, 5 off",N/A
SKECHERS,SKECHERS Flection 3.0 Men's Lifestyle Shoes Black,RM159.20,20%,//al-ikhsan.com/cdn/shop/files/8790233-BKRD_2.jpg?crop=center&height=1100&v=1731469163&width=1100,SKU: 8790233-BKRD-10,"Liverpool FC Stadium GoalkeeperMen's Nike Dri-FIT Soccer Replica Short-Sleeve JerseyOur Stadium collection pairs replica design details with sweat-wicking technology to give you a game-ready look inspired by your favorite team.Nike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Replica design gives you details modeled after what the team wears. More Details 

100% polyester
Machine wash
Imported
100% POLYESTER
View Product Details

X0",3 payments of  RM53.06 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Hypnotic LS Men's Shoes Black,RM369.00,N/A,//al-ikhsan.com/cdn/shop/files/395295_02_s.jpg?crop=center&height=1100&v=1724055083&width=1100,SKU: 395295 02-11,"PRODUCT STORY
Introducing a trendy and comfortable shoe designed for consumers who want both style and comfort. This shoe is made with softride foam technology that ensures maximum comfort, even when worn for extended periods. The styles suede look and feel give it a modern, sleek appearance, making it the perfect choice for those looking to keep up with the latest fashion trends. Whether you're running errands or heading out with friends, this shoe is the perfect accessory to complete your trendy look.

FEATURES & BENEFITS
The upper of the shoes is made with at least 30% recycled materials.
DETAILS
Synthetic suede and mesh upper
Softride midsole
Rubber outsole
Lace closure
PUMA Cat logo on tongue and heel",3 payments of  RM123.00 with,"0 full, 0 half, 5 off",N/A
FILA,FILA Court Lite Lifestyle Shoes Beige,RM175.20,20%,//al-ikhsan.com/cdn/shop/files/1TM01781G-920_1.jpg?crop=center&height=1100&v=1731477420&width=1100,SKU: 1TM01781G-920-230,"Liverpool FC Stadium GoalkeeperMen's Nike Dri-FIT Soccer Replica Short-Sleeve JerseyOur Stadium collection pairs replica design details with sweat-wicking technology to give you a game-ready look inspired by your favorite team.Nike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Replica design gives you details modeled after what the team wears. More Details 

100% polyester
Machine wash
Imported

100% POLYESTER


View Product Details



X
0",3 payments of  RM58.40 with,"0 full, 0 half, 5 off",N/A
PUMA,PUMA Hypnotic LS Men's Shoes White,RM295.20,20%,//al-ikhsan.com/cdn/shop/files/395295_04_f.jpg?crop=center&height=1100&v=1723093001&width=1100,SKU: 395295 04-6H,Puma Hypnotic LS Men's Shoes White,3 payments of  RM98.40 with,"0 full, 0 half, 5 off",N/A
